Title,SPDX-ID,URL,State changes,License and copyright notice for source,Distribution,Same license (library),License and copyright notice,Same license (file),Liability,Patent use,Trademark use,Same license,Commercial use,Modification,Disclose source,Private use,Warranty,Network use is distribution,URL
GNU Free Documentation License v1.3,GFDL-1.3,https://choosealicense.com/licenses/gfdl-1.3,Conditions,,Permissions,,Conditions,,Limitations,,,Conditions,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/gfdl-1.3
GNU General Public License v2.0,GPL-2.0,https://choosealicense.com/licenses/gpl-2.0,Conditions,,Permissions,,Conditions,,Limitations,,,Conditions,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/gpl-2.0
GNU General Public License v3.0,GPL-3.0,https://choosealicense.com/licenses/gpl-3.0,Conditions,,Permissions,,Conditions,,Limitations,Limitations,,Conditions,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/gpl-3.0
ISC License,ISC,https://choosealicense.com/licenses/isc,,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/isc
GNU Lesser General Public License v2.1,LGPL-2.1,https://choosealicense.com/licenses/lgpl-2.1,Conditions,,Permissions,Conditions,Conditions,,Limitations,,,,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/lgpl-2.1
GNU Lesser General Public License v3.0,LGPL-3.0,https://choosealicense.com/licenses/lgpl-3.0,Conditions,,Permissions,Conditions,Conditions,,Limitations,Limitations,,,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/lgpl-3.0
LaTeX Project Public License v1.3c,LPPL-1.3c,https://choosealicense.com/licenses/lppl-1.3c,Conditions,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/lppl-1.3c
MIT No Attribution,MIT-0,https://choosealicense.com/licenses/mit-0,,,Permissions,,,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/mit-0
MIT License,MIT,https://choosealicense.com/licenses/mit,,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/mit
Mozilla Public License 2.0,MPL-2.0,https://choosealicense.com/licenses/mpl-2.0,,,Permissions,,Conditions,Conditions,Limitations,Limitations,Limitations,,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/mpl-2.0
Microsoft Public License,MS-PL,https://choosealicense.com/licenses/ms-pl,,,Permissions,,Conditions,,,Limitations,Limitations,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/ms-pl
Microsoft Reciprocal License,MS-RL,https://choosealicense.com/licenses/ms-rl,,,Permissions,,Conditions,Conditions,,Limitations,Limitations,,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/ms-rl
"Mulan Permissive Software License, Version 2",MulanPSL-2.0,https://choosealicense.com/licenses/mulanpsl-2.0,,,Permissions,,Conditions,,Limitations,Limitations,Limitations,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/mulanpsl-2.0
University of Illinois/NCSA Open Source License,NCSA,https://choosealicense.com/licenses/ncsa,,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/ncsa
Open Data Commons Open Database License v1.0,ODbL-1.0,https://choosealicense.com/licenses/odbl-1.0,,,Permissions,,Conditions,,Limitations,Limitations,Limitations,Conditions,Permissions,Permissions,Conditions,Permissions,Limitations,,https://choosealicense.com/licenses/odbl-1.0
SIL Open Font License 1.1,OFL-1.1,https://choosealicense.com/licenses/ofl-1.1,,,Permissions,,Conditions,,Limitations,,,Conditions,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/ofl-1.1
Open Software License 3.0,OSL-3.0,https://choosealicense.com/licenses/osl-3.0,Conditions,,Permissions,,Conditions,,Limitations,Limitations,Limitations,Conditions,Permissions,Permissions,Conditions,Permissions,Limitations,Conditions,https://choosealicense.com/licenses/osl-3.0
PostgreSQL License,PostgreSQL,https://choosealicense.com/licenses/postgresql,,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/postgresql
The Unlicense,Unlicense,https://choosealicense.com/licenses/unlicense,,,Permissions,,,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/unlicense
Universal Permissive License v1.0,UPL-1.0,https://choosealicense.com/licenses/upl-1.0,,,Permissions,,Conditions,,Limitations,Limitations,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/upl-1.0
Vim License,Vim,https://choosealicense.com/licenses/vim,Conditions,,Permissions,,Conditions,,,,,Conditions,Permissions,Permissions,Conditions,Permissions,,,https://choosealicense.com/licenses/vim
Do What The F*ck You Want To Public License,WTFPL,https://choosealicense.com/licenses/wtfpl,,,Permissions,,,,,,,,Permissions,Permissions,,Permissions,,,https://choosealicense.com/licenses/wtfpl
zlib License,Zlib,https://choosealicense.com/licenses/zlib,Conditions,Conditions,Permissions,,,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/zlib
